Loop Number,Accuracy,Precision,Recall,F1-Score,CM-11,CM-21,CM-31,CM-12,CM-22,CM-32,CM-31,CM-32,CM-33
24,0.901639344262295,0.915633746501399,0.913756613756614,0.914694217068465,53,0,10,0,40,0,8,0,72
25,0.92896174863388,0.953405017921147,0.931216931216931,0.942180361850711,50,0,13,0,40,0,0,0,80
26,0.901639344262295,0.917025440313112,0.920502645502645,0.91876075290213,59,0,4,0,40,0,14,0,66
27,0.808743169398907,0.851622695962318,0.848544973544973,0.85008104903567,58,2,3,0,40,0,30,0,50
28,0.830601092896175,0.84728774420219,0.843849206349206,0.845564979537946,39,4,20,0,40,0,7,0,73
29,0.852459016393443,0.873949579831933,0.866798941798942,0.870359574137941,52,0,11,2,38,0,14,0,66
30,0.437158469945355,NaN,0.333333333333333,NaN,0,0,63,0,0,40,0,0,80
31,0.901639344262295,0.917314722499169,0.908465608465609,0.912868720728644,52,0,11,1,39,0,6,0,74
32,0.863387978142076,0.873128607503607,0.88234126984127,0.877710764760815,51,2,10,0,40,0,13,0,67
33,0.85792349726776,0.879712981082844,0.882671957671958,0.881189985373406,55,0,8,0,40,0,18,0,62
34,0.896174863387978,0.914377041206309,0.903968253968254,0.909142855981679,48,1,14,0,40,0,4,0,76
35,0.863387978142076,0.89743072370191,0.893584656084656,0.895503560326256,61,0,2,0,40,0,23,0,57
36,0.923497267759563,0.940151515151515,0.929298941798942,0.934693727680988,52,0,11,0,40,0,3,0,77
37,0.879781420765027,0.894588246747715,0.888095238095238,0.891329917786952,45,3,15,0,40,0,4,0,76
38,0.923497267759563,0.937848497212022,0.93042328042328,0.934121133511432,53,0,10,0,40,0,4,0,76
39,0.896174863387978,0.910065359477124,0.912962962962963,0.911511858429171,56,0,7,0,40,0,12,0,68
40,0.890710382513661,0.903875422655155,0.902050264550264,0.90296192130504,50,1,12,0,40,0,7,0,73
41,0.896174863387978,0.911378848728246,0.908465608465609,0.909919896812803,52,0,11,0,40,0,8,0,72
42,0.797814207650273,0.822622322247228,0.833465608465608,0.828008466982862,52,3,8,0,40,0,26,0,54
43,0.879781420765027,0.895965608465608,0.895965608465608,0.895965608465608,52,0,11,0,40,0,11,0,69
44,0.868852459016393,0.898610508033001,0.878637566137566,0.888511807843413,44,0,19,0,40,0,5,0,75
45,0.907103825136612,0.932903225806452,0.912301587301587,0.922487398315891,48,0,15,0,40,0,2,0,78
46,0.918032786885246,0.924485548683238,0.930753968253968,0.927609168708209,57,1,5,0,40,0,9,0,71
47,0.830601092896175,0.868576809254775,0.86521164021164,0.866890958947612,58,0,5,0,40,0,26,0,54
48,0.836065573770492,0.866495253164557,0.86712962962963,0.86681232533003,56,0,7,0,40,0,23,0,57
49,0.852459016393443,0.871920423749692,0.867261904761905,0.869584925174707,45,1,17,0,40,0,9,0,71
50,0.836065573770492,0.867389277389277,0.844642857142857,0.85586496039617,36,4,23,0,40,0,3,0,77
51,0.885245901639344,0.904693486590038,0.896759259259259,0.900708900369934,49,0,14,0,40,0,7,0,73
52,0.885245901639344,0.90027092309701,0.90271164021164,0.901489629641667,58,1,4,1,39,0,15,0,65
53,0.885245901639344,0.899815655133295,0.896759259259259,0.898284857372673,49,1,13,0,40,0,7,0,73
54,0.87431693989071,0.887277260840479,0.886177248677249,0.886726913609217,47,2,14,0,40,0,7,0,73
55,0.896174863387978,0.922652329749104,0.902843915343915,0.912640652240202,47,0,16,0,40,0,3,0,77
56,0.825136612021858,0.857067510548523,0.857671957671958,0.857369627576177,55,0,8,0,40,0,24,0,56
57,0.885245901639344,0.902515262515263,0.893386243386244,0.897927550400395,46,2,15,0,40,0,4,0,76
58,0.896174863387978,0.926461988304094,0.901719576719577,0.91392335195058,46,0,17,0,40,0,2,0,78
59,0.896174863387978,0.922652329749104,0.902843915343915,0.912640652240202,47,0,16,0,40,0,3,0,77
60,0.896174863387978,0.911904761904762,0.904298941798942,0.908085926187962,52,0,11,1,39,0,7,0,73
